SUV;ABS202;BMW;0;Azul;mecanico;GT;1;AUTOMOVIL
CAMIONETA;BSH223;CHEVROLET;0;Azul;mecanico;Twingo;0;AUTOMOVIL
AUTOMOVIL;XYZ123;TOYOTA;0;Rojo;automático;Corolla;1;AUTOMOVIL
MOTO;MNB789;YAMAHA;0;Negro;mecanico;FZ;1;MOTO
ATV;QWE456;SUZUKI;0;Verde;mecanico;KingQuad;1;ATV
BICICLETA;ERT678;Giant;0;Gris;manual;Rincon;1;BICICLETA
BICICLETA_ELECTRICA;UIO987;Specialized;0;Blanco;automático;eBike;1;BICICLETA_ELECTRICA
PATINETA_ELECTRICA;PLO345;Boosted;0;Negro;automático;Stealth;1;PATINETA_ELECTRICA
AUTOMOVIL;ASD567;HONDA;0;Azul;mecanico;Civic;1;AUTOMOVIL
MOTO;JKL432;KAWASAKI;0;Blanco;mecanico;Ninja;1;MOTO
ATV;KJH876;POLARIS;0;Rojo;mecanico;Sportsman;1;ATV
BICICLETA;SDF234;Trek;0;Negro;manual;Marlin;1;BICICLETA
BICICLETA_ELECTRICA;WED321;Cannondale;0;Verde;automático;Synapse;1;BICICLETA_ELECTRICA
PATINETA_ELECTRICA;PLM678;Meepo;0;Negro;automático;V3;1;PATINETA_ELECTRICA
AUTOMOVIL;IUY543;FORD;0;Gris;mecanico;Fiesta;1;AUTOMOVIL
MOTO;QAZ907;DUCATI;0;Rojo;mecanico;Monster;1;MOTO
ATV;WER546;ARCTIC CAT;0;Amarillo;mecanico;Alterra;1;ATV
BICICLETA;GHJ765;Merida;0;Azul;manual;Crossway;1;BICICLETA
BICICLETA_ELECTRICA;BNM345;Orbea;0;Negro;automático;Gain;1;BICICLETA_ELECTRICA
PATINETA_ELECTRICA;TYU098;Evolve;0;Negro;automático;GTX;1;PATINETA_ELECTRICA
